instrument,fa_lo,fa_hi,n_all,n_assoc,sum_prob,exposure_s
HXMT/HE,5.740294e-25,1.861127e-24,26,7,0.044899,231622088.3
HXMT/HE,1.861127e-24,6.034176e-24,44,12,0.122372,231622088.3
HXMT/HE,6.034176e-24,1.956410e-23,43,9,0.132445,231622088.3
HXMT/HE,1.956410e-23,6.343104e-23,48,17,0.175759,231622088.3
HXMT/HE,6.343104e-23,2.056571e-22,47,6,0.134572,231622088.3
HXMT/HE,2.056571e-22,6.667848e-22,46,15,0.133824,231622088.3
HXMT/HE,6.667848e-22,2.161860e-21,57,15,0.172385,231622088.3
HXMT/HE,2.161860e-21,7.009217e-21,52,12,0.182490,231622088.3
HXMT/HE,7.009217e-21,2.272539e-20,60,17,0.119556,231622088.3
HXMT/HE,2.272539e-20,7.368063e-20,71,25,0.176446,231622088.3
HXMT/HE,7.368063e-20,2.388885e-19,54,16,0.132338,231622088.3
HXMT/HE,2.388885e-19,7.745281e-19,66,25,0.212582,231622088.3
HXMT/HE,7.745281e-19,2.511187e-18,61,13,0.147668,231622088.3
HXMT/HE,2.511187e-18,8.141811e-18,75,21,0.232675,231622088.3
HXMT/HE,8.141811e-18,2.639751e-17,61,18,0.156894,231622088.3
HXMT/HE,2.639751e-17,8.558641e-17,59,18,0.152660,231622088.3
HXMT/HE,8.558641e-17,2.774896e-16,88,28,0.233461,231622088.3
HXMT/HE,2.774896e-16,8.996812e-16,67,21,0.181212,231622088.3
HXMT/HE,8.996812e-16,2.916961e-15,91,25,0.245932,231622088.3
HXMT/HE,2.916961e-15,9.457416e-15,88,28,0.230048,231622088.3
HXMT/HE,9.457416e-15,3.066298e-14,91,23,0.242015,231622088.3
HXMT/HE,3.066298e-14,9.941601e-14,97,30,0.281162,231622088.3
HXMT/HE,9.941601e-14,3.223282e-13,78,23,0.229259,231622088.3
HXMT/HE,3.223282e-13,1.045057e-12,83,27,0.205057,231622088.3
HXMT/HE,1.045057e-12,3.388302e-12,106,25,0.375325,231622088.3
HXMT/HE,3.388302e-12,1.098561e-11,133,42,0.365960,231622088.3
HXMT/HE,1.098561e-11,3.561770e-11,108,33,0.337240,231622088.3
HXMT/HE,3.561770e-11,1.154803e-10,103,34,0.357663,231622088.3
HXMT/HE,1.154803e-10,3.744120e-10,145,49,0.414985,231622088.3
HXMT/HE,3.744120e-10,1.213924e-09,105,34,0.308317,231622088.3
HXMT/HE,1.213924e-09,3.935805e-09,153,48,0.406999,231622088.3
HXMT/HE,3.935805e-09,1.276073e-08,162,37,0.476471,231622088.3
HXMT/HE,1.276073e-08,4.137304e-08,171,42,0.496895,231622088.3
HXMT/HE,4.137304e-08,1.341403e-07,171,65,0.498461,231622088.3
HXMT/HE,1.341403e-07,4.349119e-07,182,59,0.468991,231622088.3
HXMT/HE,4.349119e-07,1.410078e-06,202,59,0.530488,231622088.3
HXMT/HE,1.410078e-06,4.571777e-06,196,40,0.507254,231622088.3
HXMT/HE,4.571777e-06,1.482269e-05,241,48,0.599863,231622088.3
HXMT/HE,1.482269e-05,4.805836e-05,320,50,0.430223,231622088.3
HXMT/HE,4.805836e-05,1.558156e-04,513,63,0.670140,231622088.3
HXMT/HE,1.558156e-04,5.051877e-04,944,45,0.791221,231622088.3
HXMT/HE,5.051877e-04,1.637927e-03,1919,81,1.128974,231622088.3
HXMT/HE,1.637927e-03,5.310514e-03,4020,70,1.598525,231622088.3
HXMT/HE,5.310514e-03,1.721783e-02,8572,79,2.576778,231622088.3
HXMT/HE,1.721783e-02,5.582393e-02,18425,76,5.074862,231622088.3
HXMT/HE,5.582393e-02,1.809932e-01,40692,112,10.702987,231622088.3
HXMT/HE,1.809932e-01,5.868191e-01,87653,108,20.783239,231622088.3
HXMT/HE,5.868191e-01,1.902594e+00,190280,127,45.694197,231622088.3
HXMT/HE,1.902594e+00,6.168621e+00,411617,196,98.450466,231622088.3
HXMT/HE,6.168621e+00,2.000000e+01,886547,302,211.064015,231622088.3
SVOM/GRM,1.000000e-60,3.242216e-60,0,0,0.000000,12114207.0
SVOM/GRM,3.242216e-60,1.051196e-59,0,0,0.000000,12114207.0
SVOM/GRM,1.051196e-59,3.408205e-59,0,0,0.000000,12114207.0
SVOM/GRM,3.408205e-59,1.105014e-58,0,0,0.000000,12114207.0
SVOM/GRM,1.105014e-58,3.582693e-58,0,0,0.000000,12114207.0
SVOM/GRM,3.582693e-58,1.161586e-57,0,0,0.000000,12114207.0
SVOM/GRM,1.161586e-57,3.766114e-57,1,0,0.009682,12114207.0
SVOM/GRM,3.766114e-57,1.221055e-56,0,0,0.000000,12114207.0
SVOM/GRM,1.221055e-56,3.958925e-56,0,0,0.000000,12114207.0
SVOM/GRM,3.958925e-56,1.283569e-55,0,0,0.000000,12114207.0
SVOM/GRM,1.283569e-55,4.161607e-55,0,0,0.000000,12114207.0
