start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2025-04-26T04:43:40.312518,3.155303625375113e-42,101.57217273664124,12.237196786576014,0.312518,47,0.9120,62,36,1.722,0.0000,0.0098,0.383,3362,3
2025-05-03T04:12:50.475845,6.900580191607637e-43,-82.14571126191471,9.019466137583615,0.475845,47,1.2750,110,30,3.667,0.0213,0.0097,0.340,3953,3
2025-05-08T18:16:20.045323,2.033698835522874e-17,8.478524449276863,-0.68041827465574,0.045324,32,1.4880,86,47,1.840,0.0000,0.0075,0.406,5318,3
2025-05-08T18:17:16.199909,7.441510090331353e-10,11.277809822823322,1.0120556113897912,0.199909,23,1.4320,98,47,2.085,0.0000,0.0072,0.391,5236,3
2025-05-15T07:46:21.394497,3.627589487085747e-07,-78.0819266924488,9.473733233888913,0.394498,15,0.3320,64,29,2.207,0.0000,0.0106,0.467,3460,3
2025-05-20T11:31:41.509965,5.0201209417722025e-14,30.487421246343448,2.8235501775281486,0.509966,29,1.1830,91,44,2.068,0.0000,0.0087,0.517,4937,3
2025-06-07T08:36:46.482742,1.8400682958263437e-07,121.91058318009613,-1.744457270254215,0.482742,21,0.8700,52,32,1.625,0.0000,0.0077,0.476,3949,3
2025-06-14T17:37:19.830918,2.3781506983652665e-12,121.26967390526184,6.292229129990574,0.830919,18,0.5160,78,30,2.600,0.0000,0.0099,0.444,3489,3
2025-06-24T18:39:20.376947,4.433729521679103e-28,83.00406365433409,26.173872151170315,0.376948,47,1.3530,85,38,2.237,0.0000,0.0073,0.404,4740,3
2025-07-04T08:16:27.082935,1.1969044062296342e-07,-157.68670434836997,29.024416514189895,0.082935,65,2.2200,41,33,1.242,0.0000,0.0051,0.585,5062,3
2025-07-04T08:16:27.300449,8.693951681806726e-11,-157.67224022910958,29.023813842554045,0.300449,69,2.3760,43,33,1.303,0.0000,0.0048,0.580,5067,3
2025-07-04T08:16:27.323909,1.6462577839291789e-21,-157.67067853545427,29.023748771985073,0.323909,370,10.9520,46,33,1.394,0.0000,0.0050,0.522,4942,3
2025-07-12T05:05:15.681146,2.171781703107544e-12,128.8948073715258,16.194228857971478,0.681146,20,1.4770,56,35,1.614,0.0000,0.0112,0.400,2946,3
2025-07-24T16:03:49.349416,5.2482056417553445e-14,-125.16464586598448,16.818438094712715,0.349417,25,1.1990,55,29,1.897,0.0000,0.0085,0.600,4152,3
2025-08-03T16:40:24.509267,1.9523079847493887e-47,117.05418106871758,-1.4899676719860295,0.509268,46,1.8200,98,29,3.397,0.0000,0.0095,0.348,3517,3
2025-08-18T09:38:44.812093,3.821958719542186e-11,-88.44054788336719,13.874688959898034,0.812093,19,1.0560,105,30,3.500,0.0000,0.0065,0.474,3934,3
2025-08-28T05:35:54.661671,1.179767855673594e-14,-94.45802786836032,11.456519440302532,0.661672,22,1.1660,77,30,2.567,0.0000,0.0104,0.409,4272,3
2025-08-28T05:36:03.843589,9.995373813263302e-27,-93.98042532083568,11.198246417640211,0.843589,32,0.7280,60,30,2.000,0.0000,0.0074,0.375,4070,3
2025-08-30T20:14:57.750401,8.219216987682719e-11,-60.6274643309644,27.825926954319275,0.750402,21,0.8200,47,37,1.270,0.0000,0.0097,0.381,3258,3
2025-09-06T09:05:19.844058,6.968314886706958e-10,83.87117127491514,28.993279156287297,0.844059,28,1.7660,56,42,1.345,0.0000,0.0075,0.571,4406,3
2025-09-09T14:24:42.242613,9.498576780569531e-11,-77.30768656454278,19.028048432769125,0.242614,18,0.5160,52,33,1.576,0.0000,0.0093,0.500,3446,3
2025-09-16T09:30:12.556150,1.496242338583382e-36,-75.98891566290986,8.4720598799459,0.556150,43,1.5360,118,31,3.806,0.0000,0.0102,0.395,3693,3
2025-10-04T00:51:36.703422,5.066744525161917e-27,-70.9293686962054,10.588364328315958,0.703422,34,1.8190,91,33,2.758,0.0000,0.0118,0.412,3520,3
2025-10-10T12:13:13.370755,3.669575853442546e-32,128.7800647290604,28.49390845203598,0.370756,39,1.1900,72,33,2.182,0.0000,0.0070,0.410,4442,3
2025-10-14T04:38:25.448746,4.831335169141023e-16,120.89090919542195,-9.648287078472189,0.448746,23,0.6000,141,30,4.700,0.0000,0.0119,0.435,3306,3
2025-10-28T08:39:20.532630,4.060457953242293e-07,122.29785183932776,16.77358354629206,0.532630,14,0.4350,78,37,2.108,0.0000,0.0073,0.429,4578,3
2025-11-06T03:43:43.828855,1.0779548671871015e-07,0.1868509697775003,8.43188994168969,0.828856,22,1.0220,73,45,1.633,0.0000,0.0060,0.409,4817,3
2025-11-23T15:36:12.878252,4.1471253077681114e-13,24.389060182073298,-7.982706781494726,0.878252,30,1.5350,71,42,1.690,0.0333,0.0073,0.400,5132,3
2025-12-01T06:14:26.437524,4.819893108537714e-20,127.85635117688194,2.2193021790678755,0.437525,24,0.9930,53,31,1.710,0.0000,0.0107,0.417,3135,3
2025-12-09T13:43:39.296948,1.6314555202347118e-13,132.57877793882935,-0.9379480865059862,0.296948,24,1.2300,78,32,2.453,0.0000,0.0079,0.417,4250,3
2025-12-21T10:10:07.140914,2.404446485997405e-11,128.18086480216172,-15.754846758452262,0.140915,21,1.7900,105,31,3.387,0.0476,0.0076,0.429,4062,3
2025-12-28T13:11:18.937816,6.662058632798164e-10,-9.29666830622071,5.3837974002636075,0.937817,17,0.9250,59,34,1.735,0.0000,0.0097,0.412,2828,3
2026-01-12T07:37:25.823355,1.1849600441254326e-12,123.8768104814556,-16.550801794252813,0.823356,32,1.6610,58,34,1.721,0.0000,0.0077,0.375,2864,3
2026-01-30T19:16:48.448348,6.67302505497678e-38,52.89746795580744,-14.011695384710666,0.448349,41,1.4240,83,31,2.677,0.0000,0.0102,0.463,3535,3
2026-02-06T16:30:50.912422,5.834502057041202e-06,161.07817293247257,-18.309332727508146,0.912422,20,1.6580,65,34,1.926,0.0000,0.0107,0.650,3121,3
2026-02-13T19:04:44.631933,1.2428171329408212e-08,-73.71175772877854,0.4749976902960966,0.631934,24,1.7730,36,34,1.074,0.0000,0.0127,0.625,2992,3
2026-02-23T07:23:27.037752,3.175999175299999e-07,167.7045468540978,-21.60327761578203,0.037753,27,1.0390,45,34,1.324,0.0370,0.0108,0.519,3319,3
2026-03-03T05:24:43.971373,3.3496232346827675e-14,12.46133518786205,-4.219223484851926,0.971374,26,1.3590,99,35,2.843,0.0000,0.0110,0.423,2855,3
2026-03-19T10:49:51.920876,5.753080197929472e-13,-141.5307407946958,-24.103125220927932,0.920876,27,1.8400,66,34,1.941,0.0000,0.0066,0.519,4351,3
2026-03-19T10:51:04.612577,3.879861046120841e-18,-137.07706126644473,-25.334547601489316,0.612577,37,1.5190,55,35,1.571,0.0000,0.0086,0.405,4386,3
2026-03-19T10:52:11.181086,4.629646119645432e-12,-132.91930111518388,-26.325350931395818,0.181086,26,1.7430,56,33,1.712,0.0385,0.0059,0.385,4597,3
2026-03-27T09:07:59.983133,2.601137972859519e-12,132.42949281337027,0.11363175275680552,0.983134,26,1.0940,48,34,1.406,0.0385,0.0079,0.385,3564,3
2026-03-30T19:25:14.577256,6.22111580445538e-06,-60.947333120237914,7.79701297795127,0.577256,15,0.8260,64,33,1.939,0.0000,0.0098,0.533,2868,3
2026-04-07T17:14:30.133140,1.3653656019185068e-12,108.6882279483682,0.2742172269666203,0.133140,27,1.9390,57,29,1.966,0.0000,0.0086,0.407,3604,3
2026-04-24T08:02:02.628051,2.1265073576401678e-12,112.08580086145878,-7.064609085715162,0.628052,30,1.6010,97,29,3.345,0.0000,0.0073,0.433,3438,3
2026-05-04T10:18:37.826999,1.612994737465593e-20,15.547377411214876,-0.8355073299046534,0.826999,35,1.4370,100,45,2.222,0.0000,0.0054,0.371,5206,3
2026-05-09T03:26:26.402257,3.902083110175833e-31,103.13125406666482,9.49412017582054,0.402257,41,1.4360,70,38,1.842,0.0244,0.0121,0.439,3276,3
