start,span,best,n,fa,lat,lon
2024-09-27T00:31:30.934542Z,2.939,0.9689927101135254,81.0,1.0615092779499327e-28,8.712206572774827,-90.49093872225995
2024-08-22T01:15:42.522466003Z,1.879,0.10699033737182616,32.0,1.8853320978878998e-16,8.694281898362794,11.90487030304498
2024-12-17T04:58:48.746109008Z,1.824,0.35899877548217773,49.0,3.8077964453200154e-44,-20.68006820561935,125.172838887926
2024-12-24T17:37:50.392643004Z,1.805,0.14200806617736816,31.0,6.1275744157767784e-21,-11.694064589047642,125.05058422689598
2024-07-20T08:45:36.493826985Z,1.742,0.24899840354919434,29.0,3.196010459962039e-20,13.032297541344198,-83.45404246836058
2024-07-23T22:45:06.286870002Z,1.663,0.10699033737182616,27.0,5.94226347155211e-24,-7.193752615245127,78.2682729076118
2024-08-14T13:39:31.620433986Z,1.634,0.16099214553833008,39.0,1.5351184090497268e-21,15.332453337393318,-106.10446522276916
2024-10-01T21:53:15.470290988Z,1.625,0.08100271224975586,25.0,4.080679948095117e-07,-4.342779474331801,101.63573816220934
2024-08-28T00:19:54.345310002Z,1.621,0.2300143241882324,25.0,4.23405321694547e-12,9.828263529004566,128.4837507467258
2024-09-28T22:41:18.358779996Z,1.611,0.2409815788269043,44.0,8.249365149834247e-44,-4.180892164597811,111.49744075683198
2024-06-27T14:23:08.792580991Z,0.2,0.1990199089050293,13.0,1.330473647562104e-06,-10.88066487080154,-178.16894958149618
2024-09-28T21:41:03.173889011Z,0.119,0.04598498344421387,13.0,2.2413576010259273e-06,22.52926857512056,-93.70678622813108
2024-09-04T13:05:35.438160985Z,0.07,0.07000565528869629,11.0,2.4927625265709315e-08,20.326565310648395,122.08089621892844
2024-07-12T21:09:20.065649986Z,0.054,0.05301833152770996,13.0,1.980083915696123e-11,3.116151759030275,163.9371094805013
