sat,start,cls,table,hemi,lon,lat,travel_ms,shifted_start
GRID-03B,2023-09-23T15:04:43.919,short,far,S,107.629,-24.866,41.4,2023-09-23T15:04:43.878
GRID-03B,2023-10-09T12:02:33.915,short,near,S,157.616,-13.748,2.4,2023-10-09T12:02:33.912
GRID-03B,2023-10-09T12:02:33.915,short,far,N,161.777,27.733,17.4,2023-10-09T12:02:33.897
GRID-03B,2023-11-01T06:59:19.447,long,near,S,52.342,-15.536,2.0,2023-11-01T06:59:19.445
GRID-03B,2023-11-01T06:59:19.447,long,far,N,50.510,29.073,20.8,2023-11-01T06:59:19.426
GRID-03B,2023-11-02T11:56:52.777,long,near,S,160.942,-22.651,1.8,2023-11-02T11:56:52.775
GRID-03B,2023-11-02T11:56:52.777,long,far,N,168.036,36.208,31.7,2023-11-02T11:56:52.745
GRID-03B,2023-11-03T17:57:56.419,short,near,N,67.079,19.879,3.9,2023-11-03T17:57:56.415
GRID-03B,2023-11-03T17:57:56.419,short,far,S,68.232,-6.245,7.5,2023-11-03T17:57:56.412
GRID-03B,2023-11-04T15:56:59.292,short,near,S,98.568,-5.848,4.0,2023-11-04T15:56:59.288
GRID-03B,2023-11-04T15:56:59.292,short,far,N,98.179,20.142,7.3,2023-11-04T15:56:59.285
GRID-03B,2023-11-18T11:39:47.324,short,near,S,161.217,-7.354,5.1,2023-11-18T11:39:47.319
GRID-03B,2023-11-18T11:39:47.324,short,far,N,164.451,20.000,6.8,2023-11-18T11:39:47.317
GRID-03B,2024-01-14T13:50:21.606,short,near,S,136.512,-35.367,1.5,2024-01-14T13:50:21.605
GRID-03B,2024-01-14T13:50:21.606,short,far,N,138.965,52.144,80.2,2024-01-14T13:50:21.526
GRID-03B,2024-01-18T15:57:04.315,short,near,N,-79.946,8.699,2.7,2024-01-18T15:57:04.312
GRID-03B,2024-01-18T15:57:04.315,short,far,S,-79.333,-31.374,15.7,2024-01-18T15:57:04.299
GRID-04,2022-04-14T21:08:44.692,long,near,S,-165.494,-35.908,1.9,2022-04-14T21:08:44.690
GRID-04,2022-04-14T21:08:44.692,long,far,N,-148.334,37.589,49.9,2022-04-14T21:08:44.642
GRID-04,2022-08-19T11:42:21.034,long,near,S,165.139,-31.736,1.8,2022-08-19T11:42:21.032
GRID-04,2022-08-19T11:42:21.034,long,far,N,176.838,44.382,53.3,2022-08-19T11:42:20.980
GRID-04,2022-08-19T13:18:05.791,long,near,S,141.320,-30.096,1.8,2022-08-19T13:18:05.790
GRID-04,2022-08-19T13:18:05.791,long,far,N,144.163,46.571,55.9,2022-08-19T13:18:05.736
GRID-04,2024-01-01T06:15:24.361,long,near,N,-121.801,46.187,1.4,2024-01-01T06:15:24.360
GRID-04,2024-01-01T06:15:24.361,long,far,S,-150.267,-53.071,111.9,2024-01-01T06:15:24.249
GRID-04,2024-01-02T03:23:39.487,long,near,S,102.953,-37.619,1.5,2024-01-02T03:23:39.485
GRID-04,2024-01-02T03:23:39.487,long,far,N,97.442,53.417,98.0,2024-01-02T03:23:39.389
GRID-04,2024-01-09T01:39:19.562,long,near,S,128.333,-39.661,1.5,2024-01-09T01:39:19.561
GRID-04,2024-01-09T01:39:19.562,long,far,N,128.853,56.664,110.6,2024-01-09T01:39:19.451
GRID-04,2024-01-19T03:05:49.438,long,near,S,107.646,-37.652,1.5,2024-01-19T03:05:49.436
GRID-04,2024-01-19T03:05:49.438,long,far,N,102.997,53.661,98.4,2024-01-19T03:05:49.339
GRID-04,2024-01-26T20:04:19.632,long,near,S,-151.235,-50.041,1.5,2024-01-26T20:04:19.631
GRID-04,2024-01-26T20:04:19.632,long,far,N,-125.029,44.176,94.9,2024-01-26T20:04:19.538
GRID-04,2024-02-01T13:10:09.634,long,near,N,131.746,54.203,1.4,2024-02-01T13:10:09.632
GRID-04,2024-02-01T13:10:09.634,long,far,S,130.799,-37.344,93.3,2024-02-01T13:10:09.541
GRID-07,2024-01-02T11:17:09.810,long,near,N,160.068,51.204,1.4,2024-01-02T11:17:09.809
GRID-07,2024-01-02T11:17:09.810,long,far,S,151.535,-35.454,75.0,2024-01-02T11:17:09.735
GRID-07,2024-01-27T22:32:39.874,long,near,S,170.314,-52.939,1.3,2024-01-27T22:32:39.873
GRID-07,2024-01-27T22:32:39.874,long,far,N,-157.975,61.613,201.4,2024-01-27T22:32:39.673
GRID-07,2024-02-03T03:55:09.694,long,near,S,92.926,-47.661,1.3,2024-02-03T03:55:09.693
GRID-07,2024-02-03T03:55:09.694,long,far,N,79.908,63.237,198.4,2024-02-03T03:55:09.496
