start,fa,associated,coincidence_probability,in_coverage,neighbors_10min
2024-06-27T09:15:08.239342,5.210234483924878,0,0.0,1,0
2024-06-27T10:12:20.815216,5.706206047442832,0,0.0,1,0
2024-06-27T11:16:25.145622,15.235815585667876,0,0.0002461659945906073,1,0
2024-06-27T12:49:04.309448,15.877416935440335,0,0.0,1,0
2024-06-27T14:23:08.792580,1.330473647562104e-06,1,0.0030377286533890663,1,0
2024-06-27T15:19:14.718356,11.804445105474686,0,0.0,1,1
2024-06-27T15:20:22.363377,6.915119701751122,0,0.0,1,1
2024-06-27T19:19:02.371948,0.019406571413637427,0,0.0001639209900827801,1,0
2024-06-27T19:37:56.968791,9.863445121870546,0,0.0,1,0
2024-06-27T22:48:05.447059,13.50931922627539,0,0.0006556839603311204,1,0
2024-06-28T00:04:44.850185,3.787826454975907,0,0.0,1,0
2024-06-28T00:47:31.242621,3.6861490811987503,0,8.196049504139005e-05,1,0
2024-06-28T01:43:50.544326,4.20737745037055,0,0.0,1,0
2024-06-28T05:44:17.283358,16.994716950652215,0,0.002950659159085321,1,0
2024-06-28T06:22:57.803918,14.743593107757864,0,0.0,1,0
2024-06-28T07:31:26.691157,17.387242953476086,0,0.0,1,0
2024-06-28T07:41:31.278977,18.680233065956113,0,0.0,1,0
2024-06-28T07:52:24.309688,0.5232058803311211,0,8.196049504139005e-05,1,0
2024-06-28T08:23:03.857356,10.86252335055811,0,0.0,1,0
2024-06-28T09:14:27.666000,12.510145738882448,0,0.0,1,0
2024-06-28T09:42:45.984961,4.3959506109717505,0,0.0,1,0
2024-06-28T10:04:47.453399,0.03507945660783375,0,0.0,1,0
2024-06-28T12:04:40.754451,18.124067275118595,0,0.0,1,0
2024-06-28T12:32:13.276924,13.872291663514972,0,0.0,1,0
2024-06-28T13:01:00.814074,0.618545060103336,0,0.000823083157118269,1,0
2024-06-28T14:29:17.491950,6.074210235166589,0,0.0,1,0
2024-06-28T14:40:08.114145,4.825699416035536,0,0.00016407349397590362,1,0
2024-06-28T15:12:25.433934,13.566377426733377,0,0.008214672723547251,1,0
2024-06-28T19:39:15.260351,12.291470251723586,0,0.006476424645520859,1,0
2024-06-28T21:02:47.141831,4.940908475118747,0,0.0,1,0
2024-06-28T21:19:29.795363,4.625709980681607,0,0.0004917629702483403,1,0
2024-06-28T23:16:06.059374,19.82641249937408,0,0.00040980247520695025,1,0
2024-06-28T23:30:41.479595,12.028514915462836,0,0.0,1,0
2024-06-29T00:57:20.127272,9.302056841947206,0,0.00040980247520695025,1,0
2024-06-29T02:31:29.592566,15.847179190325337,0,0.0,1,1
2024-06-29T02:38:42.975513,4.644921976252284,0,0.0,1,1
2024-06-29T04:36:04.897121,17.289416721354105,0,0.0,1,0
2024-06-29T05:51:38.495368,12.257088472621222,0,0.00016481320383575116,1,0
2024-06-29T06:05:11.706698,6.659031800822452e-18,0,0.0029507553970985986,1,0
2024-06-29T06:35:52.107053,7.727317959523651,0,0.0,1,0
2024-06-29T07:12:32.754180,3.8248030730037086,0,0.0,1,0
2024-06-29T07:55:39.449436,17.813858917985407,0,0.0,1,1
2024-06-29T08:03:57.505327,2.3227964971246924,0,0.0,1,1
2024-06-29T08:59:21.874897,19.416359373156567,0,0.0,1,0
2024-06-29T09:36:35.544907,4.51200280032264,0,0.0,1,0
2024-06-29T09:54:41.549254,5.1698022941371615,0,0.000574855405294648,1,0
2024-06-29T13:04:35.510444,15.66860479524346,0,0.0,1,0
2024-06-29T15:37:15.040863,8.1843646178844,0,0.00024628860749118924,1,0
2024-06-29T16:35:41.421828,4.86804829211565,0,0.0,1,0
2024-06-29T18:00:39.403124,10.083512116638484,0,0.0,1,1
2024-06-29T18:05:39.400501,16.271743569214824,0,0.0,1,1
2024-06-29T21:34:56.960716,14.833250627715564,0,0.0,1,0
2024-06-30T00:03:47.586376,6.807308446410493,0,0.0,1,0
2024-06-30T01:10:36.440912,2.1236343780159426,0,8.196049504139005e-05,1,1
2024-06-30T01:20:00.379399,7.125914603552454,0,0.0,1,1
2024-06-30T01:49:17.517715,0.9347264164086856,0,0.0,1,0
2024-06-30T04:26:13.694806,17.651907137697766,0,8.196049504139005e-05,1,0
2024-06-30T05:08:45.749137,1.1576495047381858,0,0.0,1,1
2024-06-30T05:14:47.949627,14.123945287377577,0,0.0,1,1
