date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20170815,2017-08-15T07:33:16.908431977Z,2017-08-15T07:33:16.909087985Z,0.000656008,23,1.85251046496898e-7,263.2991,16.1680,536712.2,direct,1,4.91886231456438e-3,9,27,6,1,15482,2293,27,6,1,15482,2293,0.148
20170818,2017-08-18T15:38:09.053261995Z,2017-08-18T15:38:09.053889989Z,0.000627994,15,4.7813230655140273e-8,267.2733,13.8557,545044.1,direct,1,5.002335415129907e-3,11,23,0,0,15537,1727,23,0,0,15537,1727,0.130
20170821,2017-08-21T11:13:44.307669997Z,2017-08-21T11:13:44.307729989Z,0.000059992,9,6.701040669711519e-7,140.5951,-9.0884,540871.5,direct,0,0e0,3,10,0,0,12537,1601,10,0,0,12537,1601,0.300
20170822,2017-08-22T04:54:17.534939974Z,2017-08-22T04:54:17.535579979Z,0.000640005,20,8.970156892974562e-8,263.1525,19.8593,537185.0,direct,0,6.236135062699779e-3,8,22,11,2,17040,2609,22,11,2,17040,2609,0.136
20170825,2017-08-25T11:17:08.048729985Z,2017-08-25T11:17:08.049111992Z,0.000382007,22,1.635856479539275e-8,272.4818,25.9233,540807.5,direct,1,6.0689634947955085e-3,13,24,1,0,19002,2888,24,1,0,19002,2888,0.125
20170828,2017-08-28T08:34:51.421038001Z,2017-08-28T08:34:51.421884Z,0.000845999,25,8.683522245954794e-7,140.4916,-4.7669,543355.0,direct,0,6.472369174657815e-3,9,27,3,2,12339,2299,27,3,2,12339,2299,0.185
20170829,2017-08-29T10:45:37.870419979Z,2017-08-29T10:45:37.871975988Z,0.001556009,35,6.205277820290413e-8,272.5606,12.1662,539288.1,direct,1,5.189335144660274e-3,6,43,4,0,14551,1434,43,4,0,14551,1434,0.116
20170830,2017-08-30T08:18:18.937649965Z,2017-08-30T08:18:18.937659978Z,0.000010013,8,3.8235142794293954e-6,137.5606,0.6463,543028.7,direct,0,5.770143758708303e-4,17,8,5,2,8396,1671,8,5,2,8396,1671,0.125
20170831,2017-08-31T16:46:51.973199963Z,2017-08-31T16:46:51.974123984Z,0.000924021,17,2.3843604856417938e-8,162.8499,16.2790,538090.2,direct,0,7.377229653307106e-4,8,24,1,0,13739,1028,24,1,0,13739,1028,0.208
20170831,2017-08-31T16:48:54.808069974Z,2017-08-31T16:48:54.809079974Z,0.001010000,16,5.8727928374223304e-8,168.3273,11.1586,538424.3,direct,1,9.01634562740759e-4,6,25,1,0,13436,1197,25,1,0,13436,1197,0.160
