start,fa,associated,coincidence_probability,in_coverage,neighbors_10min
2024-06-27T09:06:23.717696,11.463739490919316,0,0.0,1,0
2024-06-27T09:18:42.004866,4.7402047161511245,0,0.0,1,0
2024-06-27T10:14:11.998306,16.220497378290297,0,8.196049504139005e-05,1,1
2024-06-27T10:16:35.344859,6.178511084517987,0,0.0,1,1
2024-06-27T11:09:12.701166,13.221765596571151,0,0.0,1,2
2024-06-27T11:15:43.577953,14.619653036252616,0,0.0,1,2
2024-06-27T11:16:25.145512,6.333596643259139,0,0.00024616600278665684,1,2
2024-06-27T13:17:43.044225,10.268792474494626,0,0.00024588148512417015,1,0
2024-06-27T14:23:08.792492,0.0006558532721068962,1,0.0030377286369969673,1,0
2024-06-27T15:05:20.248831,18.986528976276063,0,0.0,1,0
2024-06-27T15:35:43.400703,15.562954088783682,0,0.0,1,0
2024-06-27T19:19:02.371948,0.024962413039282965,0,0.0001639209900827801,1,0
2024-06-27T20:38:03.614688,5.216518773507713,0,0.0,1,0
2024-06-27T22:40:33.753913,19.558211622461133,0,0.0,1,0
2024-06-28T00:24:08.942602,5.594979412693078,0,0.0008196049504139005,1,0
2024-06-28T00:47:31.242475,2.973340656124084,0,8.196049504139005e-05,1,0
2024-06-28T01:10:13.794272,4.120879722683513,0,0.0,1,0
2024-06-28T01:58:34.935440,10.575959522495012,0,0.0,1,0
2024-06-28T06:45:05.215020,0.3519387357177054,0,0.0,1,0
2024-06-28T07:22:40.247967,15.213376597619828,0,0.0018854822883370215,1,0
2024-06-28T10:04:47.453628,0.1593479743510126,0,0.0,1,0
2024-06-28T11:00:57.775388,4.897660720710876,0,0.0,1,0
2024-06-28T11:32:23.038616,0.06930359108150477,0,0.0,1,0
2024-06-28T12:05:57.990215,17.03336768279391,0,0.0,1,1
2024-06-28T12:07:43.210312,13.812327346678568,0,0.0,1,1
2024-06-28T12:42:51.813392,11.835779709413847,0,0.0001639209900827801,1,0
2024-06-28T13:01:00.814049,11.655594592034886,0,0.000823083157118269,1,0
2024-06-28T13:18:58.838618,2.517632075636798,0,0.0,1,1
2024-06-28T13:20:00.859912,18.864303354813973,0,0.0,1,1
2024-06-28T17:37:28.844307,10.687680126330935,0,0.0,1,0
2024-06-28T18:39:35.996569,3.818417923074027,0,0.00889466610113925,1,0
2024-06-28T23:22:32.710525,13.017423111403744,0,0.0,1,0
2024-06-28T23:33:35.218445,9.897527506137234,0,0.0,1,0
2024-06-29T01:06:30.881716,1.962819945622551,0,0.0017826813375952791,1,0
2024-06-29T01:19:58.665183,1.6229891924998991,0,0.0,1,0
2024-06-29T02:56:24.754177,15.628141950738064,0,0.000655887968199328,1,1
2024-06-29T03:06:11.980008,2.021390728141441,0,0.0,1,2
2024-06-29T03:10:16.968836,0.41336288639175534,0,0.0,1,1
2024-06-29T04:04:09.695266,7.365084153709525,0,8.196049504139005e-05,1,0
2024-06-29T06:00:37.900303,13.941984950349408,0,0.0006556839603311204,1,2
2024-06-29T06:05:11.706698,3.078615959361697e-15,0,0.0029507553970985986,1,2
2024-06-29T06:06:51.296463,0.5517198181253833,0,0.0007377353659536104,1,2
2024-06-29T07:14:31.549901,6.426941145282645,0,0.0,1,0
2024-06-29T08:03:57.505327,4.397889382227082,0,0.0,1,0
2024-06-29T08:17:57.084996,19.61717380362472,0,0.0,1,0
2024-06-29T08:35:01.523200,5.26182574963257,0,0.0,1,0
2024-06-29T10:19:45.405833,10.624619166774147,0,0.002743878198508319,1,0
2024-06-29T11:21:57.112163,16.68689137463998,0,8.196049504139005e-05,1,1
2024-06-29T11:28:39.109254,14.725484192617976,0,0.0,1,2
2024-06-29T11:38:32.023299,9.116107445135055,0,0.00040980740922875173,1,1
2024-06-29T11:50:40.412095,6.7783463332867555,0,0.0,1,0
2024-06-29T12:05:40.782837,0.8880520190672587,0,0.0009016138923039095,1,0
2024-06-29T12:17:48.377786,9.32418312940857,0,0.0,1,1
2024-06-29T12:26:00.700785,8.456613012081549,0,0.0,1,1
2024-06-29T13:01:28.522026,9.228689283941204,0,0.0,1,0
2024-06-29T15:24:15.621843,16.27443296541486,0,0.0,1,0
2024-06-29T15:37:15.040863,19.311910427071364,0,0.00024628860749118924,1,0
