date,start,stop,count,mean,sf,false_positive_per_year,lat,lon,alt,n,n_acd,n_acd_multi,n_bg,n_acd_bg,neighbors_10min,is_train,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20170702,2017-07-02T01:37:04.075249999Z,2017-07-02T01:37:04.076395988Z,21,0.602263868676158,7.153095569502957e-27,2.82205435722709e-15,11.66075046166748,273.0954569488582,540464.7536660254,32,7,1,14666,2236,14,0,32,7,1,14666,2236,0.156
20170702,2017-07-02T05:29:27.659785985Z,2017-07-02T05:29:27.661571979Z,22,0.7757009205124505,5.343691110800672e-26,1.2775841771399601e-14,3.732483577206135,17.25718718414843,540670.6087417305,38,7,0,11634,1698,9,0,38,7,0,11634,1698,0.105
20170702,2017-07-02T11:48:31.769609987Z,2017-07-02T11:48:31.771531969Z,34,0.8077965162470219,2.5139973126908407e-44,6.724084555265055e-33,10.045688337865473,273.8958881840915,539693.9640801788,52,1,0,13573,976,6,0,52,1,0,13573,976,0.135
20170703,2017-07-03T01:33:34.072616010Z,2017-07-03T01:33:34.074368Z,19,0.6591493369675709,5.26158300904397e-23,2.3060746149588925e-11,25.514616842689517,285.3965209819919,540382.2346131891,43,5,2,17962,1744,14,0,43,5,2,17962,1744,0.163
20170703,2017-07-03T06:10:33.564095973Z,2017-07-03T06:10:33.565517991Z,37,1.0307239664374075,2.212464634231089e-45,4.05885814846732e-34,2.987146243487597,187.5116179414678,542709.6351985455,54,8,3,11722,849,12,0,54,8,3,11722,849,0.148
20170703,2017-07-03T11:00:00.015682011Z,2017-07-03T11:00:00.018070012Z,24,1.4223917995564836,1.1002179323223728e-22,4.9742446760116826e-12,11.432425707781317,123.11510991463184,541195.5198448658,42,0,0,877,60,20,0,42,0,0,877,60,0.119
20170703,2017-07-03T11:00:00.031066Z,2017-07-03T11:00:00.036159992Z,24,1.9147719810658064,1.1583188512267802e-19,3.670080054574763e-09,11.433080422484876,123.11578808412075,541195.4421800136,90,5,3,826,56,20,0,90,5,3,826,56,0.111
20170704,2017-07-04T11:30:12.907959967Z,2017-07-04T11:30:12.909077972Z,21,1.0352839023389344,7.09391232575724e-22,1.5333180067826676e-10,9.467179519136549,266.273989898988,538765.9930174947,31,4,1,14057,1602,16,0,31,4,1,14057,1602,0.161
20170704,2017-07-04T11:30:56.515471994Z,2017-07-04T11:30:56.516207993Z,18,0.4903257447991637,6.791032760530538e-24,3.0626092624680417e-12,7.6076769214153295,268.14267121774674,539016.4352884054,24,2,1,13621,1435,15,0,24,2,1,13621,1435,0.167
20170705,2017-07-05T07:24:21.633311986Z,2017-07-05T07:24:21.635177999Z,48,1.3694437032329319,2.1080082489163176e-57,2.7718419649777218e-46,-4.86033043116212,147.41460214870335,545653.6386979818,60,11,2,11372,1755,10,0,60,11,2,11372,1755,0.117
20170708,2017-07-08T05:55:19.287121981Z,2017-07-08T05:55:19.287983983Z,20,0.8449302396877343,2.540526764636026e-22,8.910755354796128e-11,35.49812932531357,286.39221308196784,539378.8749645471,30,2,2,18544,2519,39,1,30,2,2,18544,2519,0.133
20170708,2017-07-08T23:01:59.066585987Z,2017-07-08T23:01:59.068188011Z,26,0.7451054653003436,1.588559961493777e-32,4.3977043735211054e-21,24.238879105386737,283.28480012584214,543696.5666429996,41,7,2,12842,1856,49,1,41,7,2,12842,1856,0.122
20170709,2017-07-09T09:05:45.511777997Z,2017-07-09T09:05:45.514530003Z,33,0.8634414553551583,9.94504184014512e-42,2.0116100063743904e-30,16.295183191839456,262.7962227685726,536685.1810303688,95,10,6,11165,1561,34,0,95,10,6,11165,1561,0.074
20170709,2017-07-09T15:28:18.465931981Z,2017-07-09T15:28:18.466133981Z,23,0.48780970633333665,3.326618981236788e-32,9.373464612419106e-21,13.763263641338947,168.4623284040445,536779.5397963942,25,1,0,8674,1280,14,0,25,1,0,8674,1280,0.160
20170709,2017-07-09T18:38:50.300832003Z,2017-07-09T18:38:50.302293986Z,31,1.4278757314212325,8.491551387410374e-32,1.32659799416961e-20,14.343397205717565,119.29387383587361,536744.8601866007,40,3,0,14045,940,8,0,40,3,0,14045,940,0.125
20170710,2017-07-10T22:41:30.928083986Z,2017-07-10T22:41:30.929155975Z,37,2.16689661616608,1.3398263009829368e-33,1.1810026725811944e-22,19.768293433002235,269.4085646018392,544863.4076054872,42,2,0,11961,2214,23,0,42,2,0,11961,2214,0.095
20170710,2017-07-10T22:42:40.028521984Z,2017-07-10T22:42:40.030202001Z,46,1.5996698023124676,3.138633665165562e-51,4.026521504219804e-40,22.480747414888146,272.76477964515925,544805.7942710043,59,24,6,12982,2298,25,0,59,24,6,12982,2298,0.119
20170711,2017-07-11T07:12:28.242577999Z,2017-07-11T07:12:28.243748009Z,15,0.2375571391793729,3.931939404673352e-24,2.6965804336522927e-12,14.712734484210314,280.60026947133514,536390.0603585899,22,5,1,10272,1725,30,0,22,5,1,10272,1725,0.182
20170711,2017-07-11T20:57:25.300105988Z,2017-07-11T20:57:25.301085978Z,29,0.6249434960014315,1.5452254743843163e-39,4.601336191223495e-28,21.110554241456988,291.2121037135887,545244.0500794888,34,7,3,11612,2017,47,1,34,7,3,11612,2017,0.147
20170712,2017-07-12T19:07:36.633443981Z,2017-07-12T19:07:36.634903997Z,32,1.531165793388388,3.3270201879860677e-32,3.72289214636798e-21,8.373508048286439,297.41965407848363,546081.7656600953,42,5,1,10676,954,9,0,42,5,1,10676,954,0.167
20170713,2017-07-13T22:18:04.488035976Z,2017-07-13T22:18:04.489781975Z,30,0.8911934680053107,1.4431966946036785e-36,4.216879541255329e-25,29.595657081770305,270.71433291749776,546436.0416629851,43,0,0,16212,1596,33,0,43,0,0,16212,1596,0.116
20170714,2017-07-14T16:24:17.494551986Z,2017-07-14T16:24:17.496793985Z,135,5.823387465588854,9.779550596257264e-132,3.7729224122419397e-121,-4.154372817536593,141.46892300774397,537561.5596877098,174,11,2,14236,1042,12,0,174,11,2,14236,1042,0.092
20170714,2017-07-14T17:49:32.524757981Z,2017-07-14T17:49:32.526255995Z,19,0.40256787042359754,3.5012512903006496e-27,1.5783165983253443e-15,21.457512867676616,90.56571237619521,537605.3739699185,27,6,4,11170,962,16,0,27,6,4,11170,962,0.148
20170714,2017-07-14T20:26:10.473309993Z,2017-07-14T20:26:10.474521994Z,18,0.446286431984117,1.1845015984884924e-24,4.559307872606937e-13,12.783925538892747,269.4649916446066,546592.2906065941,24,4,3,10727,1561,36,1,24,4,3,10727,1561,0.167
20170714,2017-07-14T22:09:07.946769982Z,2017-07-14T22:09:07.948503971Z,52,1.9839882057460805,1.964524382598616e-55,2.582852805498812e-44,30.28216072398305,267.7600810456014,546956.0681339978,65,11,5,16508,2007,41,1,65,11,5,16508,2007,0.108
20170717,2017-07-17T15:47:34.462697982Z,2017-07-17T15:47:34.464623987Z,48,1.4718508939853736,6.5309123540736455e-56,1.1845778932757817e-44,18.4853066262278,106.10496849891275,537896.9737707109,65,5,1,16851,1196,3,0,65,5,1,16851,1196,0.138
20170720,2017-07-20T03:42:30.180684Z,2017-07-20T03:42:30.182500004Z,25,0.8312764713857971,9.126631766026178e-30,2.323116858213745e-18,26.624821924163108,144.40781026423963,548116.0326109618,40,3,2,13471,1583,8,0,40,3,2,13471,1583,0.100
20170721,2017-07-21T04:05:56.991051971Z,2017-07-21T04:05:56.991905987Z,15,0.31742263618216243,3.766247764488491e-22,1.916419871198056e-10,10.595627547205687,268.1772527332276,537983.843693465,22,1,0,10346,1439,21,0,22,1,0,10346,1439,0.136
20170724,2017-07-24T02:03:23.391146004Z,2017-07-24T02:03:23.392849981Z,37,1.5858130169799782,1.660939210819692e-38,1.5508016203966727e-27,8.878149981708528,281.89175132593635,539151.3564770699,50,5,1,9382,1129,28,0,50,5,1,9382,1129,0.120
20170724,2017-07-24T17:22:42.711517989Z,2017-07-24T17:22:42.712687969Z,23,0.5176665456110391,1.3451067368296707e-31,5.442605846623129e-20,24.255348391227724,266.2167495965368,547896.1501443743,34,2,1,13251,1133,32,0,34,2,1,13251,1133,0.147
20170724,2017-07-24T22:31:45.617345988Z,2017-07-24T22:31:45.618974Z,25,0.7890264117209462,2.4488254834332277e-30,8.586274167455771e-19,34.93777087857962,290.7434530233765,546505.3939164042,50,10,5,17396,3060,25,0,50,10,5,17396,3060,0.100
20170725,2017-07-25T17:13:26.827465981Z,2017-07-25T17:13:26.829273968Z,38,1.480492393363679,5.124481804759057e-41,9.860621785866734e-30,24.31368510933161,262.19487494633916,547733.2306865037,52,3,1,17687,1374,16,0,52,3,1,17687,1374,0.096
20170726,2017-07-26T16:08:19.786377996Z,2017-07-26T16:08:19.787957996Z,28,1.0778430632596732,3.510277878210567e-31,6.365857029325156e-20,-4.259665182434321,68.06734871744514,539900.0729299784,38,2,0,12279,734,7,0,38,2,0,12279,734,0.132
